../lib/common.h(60): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home"  	[MsgId: MERR-26612]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 80,80).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 84,13).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 81,31).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 85,80).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 86,93).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 81,98).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 94,12).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 85,08).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 86,77).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 84,69).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 83,17).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 87,22).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 86,45).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 86,90).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 85,00).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 88,42).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 92,01).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 87,06).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 85,11).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 89,14).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 88,38).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 89,75).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 80,00, actual time = 84,08).	[MsgId: MWAR-15995]
