streetname
05TH TI ST
ADDISON ST
ADDISON ST
07TH AVE
17TH ST
05TH AVE
41ST AVE
13TH ST
BLOSSOM LN
AMAZON AVE
16TH AVE
BLOSSOM LN
HWY 101 S ON RAMP
LATHROP AVE
WASHINGTON ST
LA PLAYA
VALENCIA ST
TURK BLVD
INDUSTRIAL ST ON RAMP
23RD ST
KENWOOD WAY
UNNAMED 084
I-80 WESTBOUND
22ND AVE
17TH ST
LAWTON ST
SHIELDS ST
PORTWAY PSGE
AVENUE M
HANOVER ST
VERNA ST
I-80 WESTBOUND
PLYMOUTH AVE
PHILLIPS LN
KEARNY ST
UNION ST
YORBA ST
25TH ST
HARKNESS AVE
19TH ST
HURON AVE
LAGUNA ST
MILLER RD
HOLLOWAY AVE
TULARE ST
MONTANA ST
14TH ST
HWY 101 S ON RAMP
11TH AVE
JACKSON ST
HOWARD ST
TAYLOR ST
ROBERT C LEVY TUNL
23RD ST
RIVERA ST
LITTLEFIELD TER
ANZA ST
POPE ST
03RD ST
POLK ST
URBANO DR
MEADOWBROOK DR
LOMBARD ST
15TH ST
MILLER RD
ARGUELLO BLVD
POLK ST
ANZA AVE
HELENA ST
23RD ST
SANTA MARINA ST
SAN BRUNO AVE
ROLPH ST
SAN JOSE AVE
03RD ST
HAVELOCK ST
TWIN PEAKS BLVD
SOUTH PARK
MYRA WAY
VASQUEZ AVE
SHAFTER AVE
SELBY ST
SOUTH GATE RD
HUDSON AVE
ITALY AVE
ARCH ST
SOUTHERN HEIGHTS AVE
LILY ST
KENSINGTON WAY
POST ST
MOUNT VERNON AVE
TURK MURPHY LN
TERRACE DR
ARGONAUT AVE
SANCHEZ ST
10TH ST
20TH ST
TREAT AVE
LARKIN ST
ROCKLAND ST
SANDPIPER LN
MACALLA RD
JACKSON ST
LISBON ST
MASON ST
WASHINGTON BLVD
12TH AVE
WALNUT ST
OFARRELL ST
SANTIAGO ST
SAN ANDREAS WAY
MARIPOSA ST
09TH AVE
I-80 W OFF RAMP
MARIPOSA ST
01ST ST
05TH AVE
KEARNY ST
MARK TWAIN PL
OCEAN AVE
06TH AVE
MONTEREY BLVD
LA SALLE AVE
BADEN ST
CLAYTON ST
LOWER TER
VASQUEZ AVE
MENDELL ST
PEARL ST
POPE ST
MONTANA ST
SHAFTER AVE
MARS ST
HWY 101 SOUTHBOUND
TURK BLVD
JONES ST
LUCKY ST
RETIRO WAY
LOMBARD ST
MISSOURI ST
LINCOLN WAY
JERROLD AVE
ARDATH CT
WOODSIDE AVE
ANDOVER ST
MALLORCA WAY
LELAND AVE
MARKET ST
OLYMPIA WAY
PRATT PL
STEVENSON ST
LAPU-LAPU ST
09TH AVE
SERRANO DR
LAIDLEY ST
LOMITA AVE
PROSPECT AVE
VALENCIA ST
NATOMA ST
MONETA WAY
SILLIMAN ST
JORDAN AVE
ARDENWOOD WAY
JAMESTOWN AVE
SANCHEZ ST
SANTIAGO ST
TILLMAN PL
YORK ST
HUNTINGTON DR
MISSION ST
LYON ST
SAN BRUNO AVE
TREASURE ISLAND RD
VICENTE ST
OLYMPIA WAY
HERNANDEZ AVE
MERCED AVE
UNNAMED 145
HAMERTON AVE
LAKE MERCED BLVD
SUTTER ST
BIRD ST
OCEAN AVE
RIVERA ST
LARKIN ST
NEVADA ST
LONDON ST
POST ST
VALLEJO ST
NEW MONTGOMERY ST
